X,Y,Z,sg[t/m3],tons [t],au[ppm],cu[%],profit [$]
0,10,60,2.27,283.33,0.00,0.00,-7083.33
0,10,65,2.09,260.90,0.00,0.00,-6522.52
0,15,0,2.27,283.33,0.00,0.00,-7083.33
0,15,5,2.27,283.33,0.00,0.00,-7083.33
0,15,10,2.27,283.33,0.00,0.00,-7083.33
0,15,15,2.27,283.33,0.00,0.00,-7083.33
0,15,20,2.27,283.33,0.00,0.00,-7083.33
0,15,25,2.27,283.33,0.00,0.00,-7083.33
0,15,30,2.27,283.33,0.00,0.00,-7083.33
0,15,35,2.27,283.33,0.00,0.00,-7083.33
0,15,40,2.27,283.33,0.00,0.00,-7083.33
0,15,45,2.27,283.33,0.00,0.00,-7083.33
0,15,50,2.27,283.33,0.00,0.00,-7083.33
0,15,55,2.27,283.33,0.00,0.00,-7083.33
0,15,60,2.27,283.33,0.00,0.00,-7083.33
0,15,65,2.11,263.99,0.00,0.00,-6599.78
0,20,0,2.27,283.33,0.00,0.00,-7083.33
0,20,5,2.27,283.33,0.00,0.00,-7083.33
0,20,10,2.27,283.33,0.00,0.00,-7083.33
0,20,15,2.27,283.33,0.00,0.00,-7083.33
0,20,20,2.27,283.33,0.00,0.00,-7083.33
0,20,25,2.27,283.33,0.00,0.00,-7083.33
0,20,30,2.27,283.33,0.00,0.00,-7083.33
0,20,35,2.27,283.33,0.00,0.00,-7083.33
0,20,40,2.27,283.33,0.00,0.00,-7083.33
0,20,45,2.27,283.33,0.00,0.00,-7083.33
0,20,50,2.27,283.33,0.00,0.00,-7083.33
0,20,55,2.27,283.33,0.00,0.00,-7083.33
0,20,60,2.27,283.33,0.00,0.00,-7083.33
0,20,65,2.13,266.05,0.00,0.00,-6651.13
0,25,0,2.27,283.33,0.00,0.00,-7083.33
0,25,5,2.27,283.33,0.00,0.00,-7083.33
0,25,10,2.27,283.33,0.00,0.00,-7083.33
0,25,15,2.27,283.33,0.00,0.00,-7083.33
0,25,20,2.27,283.33,0.00,0.00,-7083.33
0,25,25,2.27,283.33,0.00,0.00,-7083.33
0,25,30,2.27,283.33,0.00,0.00,-7083.33
0,25,35,2.27,283.33,0.00,0.00,-7083.33
0,25,40,2.27,283.33,0.00,0.00,-7083.33
0,25,45,2.27,283.33,0.00,0.00,-7083.33
0,25,50,2.27,283.33,0.00,0.00,-7083.33
0,25,55,2.27,283.33,0.00,0.00,-7083.33
0,25,60,2.27,283.33,0.00,0.00,-7083.33
0,25,65,2.16,269.73,0.00,0.00,-6743.18
0,30,0,2.27,283.33,0.00,0.00,-7083.33
0,30,5,2.27,283.33,0.00,0.00,-7083.33
0,30,10,2.27,283.33,0.00,0.00,-7083.33
0,30,15,2.27,283.33,0.00,0.00,-7083.33
0,30,20,2.27,283.33,0.00,0.00,-7083.33
0,30,25,2.27,283.33,0.00,0.00,-7083.33
0,30,30,2.27,283.33,0.00,0.00,-7083.33
0,30,35,2.27,283.33,0.00,0.00,-7083.33
0,30,40,2.27,283.33,0.00,0.00,-7083.33
0,30,45,2.27,283.33,0.00,0.00,-7083.33
0,30,50,2.27,283.33,0.00,0.00,-7083.33
0,30,55,2.27,283.33,0.00,0.00,-7083.33
0,30,60,2.27,283.33,0.00,0.00,-7083.33
0,30,65,2.18,271.98,0.00,0.00,-6799.49
0,35,0,2.27,283.33,0.00,0.00,-7083.33
0,35,5,2.27,283.33,0.00,0.00,-7083.33
0,35,10,2.27,283.33,0.00,0.00,-7083.33
0,35,15,2.27,283.33,0.00,0.00,-7083.33
0,35,20,2.27,283.33,0.00,0.00,-7083.33
0,35,25,2.27,283.33,0.00,0.00,-7083.33
0,35,30,2.27,283.33,0.00,0.00,-7083.33
0,35,35,2.27,283.33,0.00,0.00,-7083.33
0,35,40,2.27,283.33,0.00,0.00,-7083.33
0,35,45,2.27,283.33,0.00,0.00,-7083.33
0,35,50,2.27,283.33,0.00,0.00,-7083.33
0,35,55,2.27,283.33,0.00,0.00,-7083.33
0,35,60,2.27,283.33,0.00,0.00,-7083.33
0,35,65,2.10,262.71,0.00,0.00,-6567.66
0,40,0,2.27,283.33,0.00,0.00,-7083.33
0,40,5,2.27,283.33,0.00,0.00,-7083.33
0,40,10,2.27,283.33,0.00,0.00,-7083.33
0,40,15,2.27,283.33,0.00,0.00,-7083.33
0,40,20,2.27,283.33,0.00,0.00,-7083.33
0,40,25,2.27,283.33,0.00,0.00,-7083.33
0,40,30,2.27,283.33,0.00,0.00,-7083.33
0,40,35,2.27,283.33,0.00,0.00,-7083.33
0,40,40,2.27,283.33,0.00,0.00,-7083.33
0,40,45,2.27,283.33,0.00,0.00,-7083.33
0,40,50,2.27,283.33,0.00,0.00,-7083.33
0,40,55,2.27,283.33,0.00,0.00,-7083.33
0,40,60,2.27,283.33,0.00,0.00,-7083.33
0,40,65,2.10,263.08,0.00,0.00,-6576.95
0,45,0,2.27,283.33,0.00,0.00,-7083.33
0,45,5,2.27,283.33,0.00,0.00,-7083.33
0,45,10,2.27,283.33,0.00,0.00,-7083.33
0,45,15,2.27,283.33,0.00,0.00,-7083.33
0,45,20,2.27,283.33,0.00,0.00,-7083.33
0,45,25,2.27,283.33,0.00,0.00,-7083.33
0,45,30,2.27,283.33,0.00,0.00,-7083.33
0,45,35,2.27,283.33,0.00,0.00,-7083.33
0,45,40,2.27,283.33,0.00,0.00,-7083.33
0,45,45,2.27,283.33,0.00,0.00,-7083.33
0,45,50,2.27,283.33,0.00,0.00,-7083.33
0,45,55,2.27,283.33,0.00,0.00,-7083.33
0,45,60,2.27,283.33,0.00,0.00,-7083.33
0,45,65,2.14,267.47,0.00,0.00,-6686.77
0,50,0,2.27,283.33,0.00,0.00,-7083.33
0,50,5,2.27,283.33,0.00,0.00,-7083.33
0,50,10,2.27,283.33,0.00,0.00,-7083.33
0,50,15,2.27,283.33,0.00,0.00,-7083.33
0,50,20,2.27,283.33,0.00,0.00,-7083.33
0,50,25,2.27,283.33,0.00,0.00,-7083.33
0,50,30,2.27,283.33,0.00,0.00,-7083.33
0,50,35,2.27,283.33,0.00,0.00,-7083.33
0,50,40,2.27,283.33,0.00,0.00,-7083.33
0,50,45,2.27,283.33,0.00,0.00,-7083.33
0,50,50,2.27,283.33,0.00,0.00,-7083.33
0,50,55,2.27,283.33,0.00,0.00,-7083.33
0,50,60,2.27,283.33,0.00,0.00,-7083.33
0,50,65,2.23,278.98,0.00,0.00,-6974.52
0,50,70,0.00,0.28,0.00,0.00,-6.89
0,55,0,2.27,283.33,0.00,0.00,-7083.33
0,55,5,2.27,283.33,0.00,0.00,-7083.33
0,55,10,2.27,283.33,0.00,0.00,-7083.33
0,55,15,2.27,283.33,0.00,0.00,-7083.33
0,55,20,2.27,283.33,0.00,0.00,-7083.33
0,55,25,2.27,283.33,0.00,0.00,-7083.33
0,55,30,2.27,283.33,0.00,0.00,-7083.33
0,55,35,2.27,283.33,0.00,0.00,-7083.33
0,55,40,2.27,283.33,0.00,0.00,-7083.33
0,55,45,2.27,283.33,0.00,0.00,-7083.33
0,55,50,2.27,283.33,0.00,0.00,-7083.33
0,55,55,2.27,283.33,0.00,0.00,-7083.33
0,55,60,2.27,283.33,0.00,0.00,-7083.33
0,55,65,2.27,283.33,0.00,0.00,-7083.33
0,55,70,0.07,9.09,0.00,0.00,-227.14
0,60,0,2.27,283.33,0.00,0.00,-7083.33
0,60,5,2.27,283.33,0.00,0.00,-7083.33
0,60,10,2.27,283.33,0.00,0.00,-7083.33
0,60,15,2.27,283.33,0.00,0.00,-7083.33
0,60,20,2.27,283.33,0.00,0.00,-7083.33
0,60,25,2.27,283.33,0.00,0.00,-7083.33
0,60,30,2.27,283.33,0.00,0.00,-7083.33
0,60,35,2.27,283.33,0.00,0.00,-7083.33
0,60,40,2.27,283.33,0.00,0.00,-7083.33
0,60,45,2.27,283.33,0.00,0.00,-7083.33
0,60,50,2.27,283.33,0.00,0.00,-7083.33
0,60,55,2.27,283.33,0.00,0.00,-7083.33
0,60,60,2.27,283.33,0.00,0.00,-7083.33
0,60,65,2.27,283.33,0.00,0.00,-7083.33
0,60,70,0.17,21.02,0.00,0.00,-525.50
0,65,0,2.27,283.33,0.00,0.00,-7083.33
0,65,5,2.27,283.33,0.00,0.00,-7083.33
0,65,10,2.27,283.33,0.00,0.00,-7083.33
0,65,15,2.27,283.33,0.00,0.00,-7083.33
0,65,20,2.27,283.33,0.00,0.00,-7083.33
0,65,25,2.27,283.33,0.00,0.00,-7083.33
0,65,30,2.27,283.33,0.00,0.00,-7083.33
0,65,35,2.27,283.33,0.00,0.00,-7083.33
0,65,40,2.27,283.33,0.00,0.00,-7083.33
0,65,45,2.27,283.33,0.00,0.00,-7083.33
0,65,50,2.27,283.33,0.00,0.00,-7083.33
0,65,55,2.27,283.33,0.00,0.00,-7083.33
0,65,60,2.27,283.33,0.00,0.00,-7083.33
0,65,65,2.27,283.33,0.00,0.00,-7083.33
0,65,70,0.26,32.24,0.00,0.00,-805.95
0,70,0,2.27,283.33,0.00,0.00,-7083.33
0,70,5,2.27,283.33,0.00,0.00,-7083.33
0,70,10,2.27,283.33,0.00,0.00,-7083.33
0,70,15,2.27,283.33,0.00,0.00,-7083.33
0,70,20,2.27,283.33,0.00,0.00,-7083.33
0,70,25,2.27,283.33,0.00,0.00,-7083.33
0,70,30,2.27,283.33,0.00,0.00,-7083.33
0,70,35,2.27,283.33,0.00,0.00,-7083.33
0,70,40,2.27,283.33,0.00,0.00,-7083.33
0,70,45,2.27,283.33,0.00,0.00,-7083.33
0,70,50,2.27,283.33,0.00,0.00,-7083.33
0,70,55,2.27,283.33,0.00,0.00,-7083.33
0,70,60,2.27,283.33,0.00,0.00,-7083.33
0,70,65,2.27,283.33,0.00,0.00,-7083.33
0,70,70,0.34,42.35,0.00,0.00,-1058.85
0,75,0,2.27,283.33,0.00,0.00,-7083.33
0,75,5,2.27,283.33,0.00,0.00,-7083.33
0,75,10,2.27,283.33,0.00,0.00,-7083.33
0,75,15,2.27,283.33,0.00,0.00,-7083.33
0,75,20,2.27,283.33,0.00,0.00,-7083.33
0,75,25,2.27,283.33,0.00,0.00,-7083.33
0,75,30,2.27,283.33,0.00,0.00,-7083.33
0,75,35,2.27,283.33,0.00,0.00,-7083.33
0,75,40,2.27,283.33,0.00,0.00,-7083.33
0,75,45,2.27,283.33,0.00,0.00,-7083.33
0,75,50,2.27,283.33,0.00,0.00,-7083.33
0,75,55,2.27,283.33,0.00,0.00,-7083.33
0,75,60,2.27,283.33,0.00,0.00,-7083.33
0,75,65,2.27,283.33,0.00,0.00,-7083.33
0,75,70,0.40,50.07,0.00,0.00,-1251.71
0,80,0,2.27,283.33,0.00,0.00,-7083.33
0,80,5,2.27,283.33,0.00,0.00,-7083.33
0,80,10,2.27,283.33,0.00,0.00,-7083.33
0,80,15,2.27,283.33,0.00,0.00,-7083.33
0,80,20,2.27,283.33,0.00,0.00,-7083.33
0,80,25,2.27,283.33,0.00,0.00,-7083.33
0,80,30,2.27,283.33,0.00,0.00,-7083.33
0,80,35,2.27,283.33,0.00,0.00,-7083.33
0,80,40,2.27,283.33,0.00,0.00,-7083.33
0,80,45,2.27,283.33,0.00,0.00,-7083.33
0,80,50,2.27,283.33,0.00,0.00,-7083.33
0,80,55,2.27,283.33,0.00,0.00,-7083.33
0,80,60,2.27,283.33,0.00,0.00,-7083.33
0,80,65,2.27,283.33,0.00,0.00,-7083.33
0,80,70,0.44,55.62,0.00,0.00,-1390.50
0,85,0,2.27,283.33,0.00,0.00,-7083.33
0,85,5,2.27,283.33,0.00,0.00,-7083.33
0,85,10,2.27,283.33,0.00,0.00,-7083.33
0,85,15,2.27,283.33,0.00,0.00,-7083.33
0,85,20,2.27,283.33,0.00,0.00,-7083.33
0,85,25,2.27,283.33,0.00,0.00,-7083.33
0,85,30,2.27,283.33,0.00,0.00,-7083.33
0,85,35,2.27,283.33,0.00,0.00,-7083.33
0,85,40,2.27,283.33,0.00,0.00,-7083.33
0,85,45,2.27,283.33,0.00,0.00,-7083.33
0,85,50,2.27,283.33,0.00,0.00,-7083.33
0,85,55,2.27,283.33,0.00,0.00,-7083.33
0,85,60,2.27,283.33,0.00,0.00,-7083.33
0,85,65,2.27,283.33,0.00,0.00,-7083.33
0,85,70,0.46,57.12,0.00,0.00,-1427.92
0,90,0,2.27,283.33,0.00,0.00,-7083.33
0,90,5,2.27,283.33,0.00,0.00,-7083.33
0,90,10,2.27,283.33,0.00,0.00,-7083.33
0,90,15,2.27,283.33,0.00,0.00,-7083.33
0,90,20,2.27,283.33,0.00,0.00,-7083.33
0,90,25,2.27,283.33,0.00,0.00,-7083.33
0,90,30,2.27,283.33,0.00,0.00,-7083.33
0,90,35,2.27,283.33,0.00,0.00,-7083.33
0,90,40,2.27,283.33,0.00,0.00,-7083.33
0,90,45,2.27,283.33,0.00,0.00,-7083.33
0,90,50,2.27,283.33,0.00,0.00,-7083.33
0,90,55,2.27,283.33,0.00,0.00,-7083.33
0,90,60,2.27,283.33,0.00,0.00,-7083.33
0,90,65,2.27,283.33,0.00,0.00,-7083.33
0,90,70,0.46,57.40,0.00,0.00,-1435.02
0,95,0,2.27,283.33,0.00,0.00,-7083.33
0,95,5,2.27,283.33,0.00,0.00,-7083.33
0,95,10,2.27,283.33,0.00,0.00,-7083.33
0,95,15,2.27,283.33,0.00,0.00,-7083.33
0,95,20,2.27,283.33,0.00,0.00,-7083.33
0,95,25,2.27,283.33,0.00,0.00,-7083.33
0,95,30,2.27,283.33,0.00,0.00,-7083.33
0,95,35,2.27,283.33,0.00,0.00,-7083.33
0,95,40,2.27,283.33,0.00,0.00,-7083.33
0,95,45,2.27,283.33,0.00,0.00,-7083.33
0,95,50,2.27,283.33,0.00,0.00,-7083.33
0,95,55,2.27,283.33,0.00,0.00,-7083.33
0,95,60,2.27,283.33,0.00,0.00,-7083.33
0,95,65,2.27,283.33,0.00,0.00,-7083.33
0,95,70,0.48,60.15,0.00,0.00,-1503.84
0,100,0,2.27,283.33,0.00,0.00,-7083.33
0,100,5,2.27,283.33,0.00,0.00,-7083.33
0,100,10,2.27,283.33,0.00,0.00,-7083.33
0,100,15,2.27,283.33,0.00,0.00,-7083.33
0,100,20,2.27,283.33,0.00,0.00,-7083.33
0,100,25,2.27,283.33,0.00,0.00,-7083.33
0,100,30,2.27,283.33,0.00,0.00,-7083.33
0,100,35,2.27,283.33,0.00,0.00,-7083.33
0,100,40,2.27,283.33,0.00,0.00,-7083.33
0,100,45,2.27,283.33,0.00,0.00,-7083.33
0,100,50,2.27,283.33,0.00,0.00,-7083.33
0,100,55,2.27,283.33,0.00,0.00,-7083.33
0,100,60,2.27,283.33,0.00,0.00,-7083.33
0,100,65,2.27,283.33,0.00,0.00,-7083.33
0,100,70,0.52,64.47,0.00,0.00,-1611.71
0,105,0,2.27,283.33,0.00,0.00,-7083.33
0,105,5,2.27,283.33,0.00,0.00,-7083.33
0,105,10,2.27,283.33,0.00,0.00,-7083.33
0,105,15,2.27,283.33,0.00,0.00,-7083.33
0,105,20,2.27,283.33,0.00,0.00,-7083.33
0,105,25,2.27,283.33,0.00,0.00,-7083.33
0,105,30,2.27,283.33,0.00,0.00,-7083.33
0,105,35,2.27,283.33,0.00,0.00,-7083.33
0,105,40,2.27,283.33,0.00,0.00,-7083.33
0,105,45,2.27,283.33,0.00,0.00,-7083.33
0,105,50,2.27,283.33,0.00,0.00,-7083.33
0,105,55,2.27,283.33,0.00,0.00,-7083.33
0,105,60,2.27,283.33,0.00,0.00,-7083.33
0,105,65,2.27,283.33,0.00,0.00,-7083.33
0,105,70,0.55,68.52,0.00,0.00,-1713.09
0,110,0,2.27,283.33,0.00,0.00,-7083.33
0,110,5,2.27,283.33,0.00,0.00,-7083.33
0,110,10,2.27,283.33,0.00,0.00,-7083.33
0,110,15,2.27,283.33,0.00,0.00,-7083.33
0,110,20,2.27,283.33,0.00,0.00,-7083.33
0,110,25,2.27,283.33,0.00,0.00,-7083.33
0,110,30,2.27,283.33,0.00,0.00,-7083.33
0,110,35,2.27,283.33,0.00,0.00,-7083.33
0,110,40,2.27,283.33,0.00,0.00,-7083.33
0,110,45,2.27,283.33,0.00,0.00,-7083.33
0,110,50,2.27,283.33,0.00,0.00,-7083.33
0,110,55,2.27,283.33,0.00,0.00,-7083.33
0,110,60,2.27,283.33,0.00,0.00,-7083.33
0,110,65,2.27,283.33,0.00,0.00,-7083.33
0,110,70,0.54,68.09,0.00,0.00,-1702.35
0,115,0,2.27,283.33,0.00,0.00,-7083.33
0,115,5,2.27,283.33,0.00,0.00,-7083.33
0,115,10,2.27,283.33,0.00,0.00,-7083.33
0,115,15,2.27,283.33,0.00,0.00,-7083.33
0,115,20,2.27,283.33,0.00,0.00,-7083.33
0,115,25,2.27,283.33,0.00,0.00,-7083.33
0,115,30,2.27,283.33,0.00,0.00,-7083.33
0,115,35,2.27,283.33,0.00,0.00,-7083.33
0,115,40,2.27,283.33,0.00,0.00,-7083.33
0,115,45,2.27,283.33,0.00,0.00,-7083.33
0,115,50,2.27,283.33,0.00,0.00,-7083.33
0,115,55,2.27,283.33,0.00,0.00,-7083.33
0,115,60,2.27,283.33,0.00,0.00,-7083.33
0,115,65,2.27,283.33,0.00,0.00,-7083.33
0,115,70,0.52,65.11,0.00,0.00,-1627.73
0,120,0,2.27,283.33,0.00,0.00,-7083.33
0,120,5,2.27,283.33,0.00,0.00,-7083.33
0,120,10,2.27,283.33,0.00,0.00,-7083.33
0,120,15,2.27,283.33,0.00,0.00,-7083.33
0,120,20,2.27,283.33,0.00,0.00,-7083.33
0,120,25,2.27,283.33,0.00,0.00,-7083.33
0,120,30,2.27,283.33,0.00,0.00,-7083.33
0,120,35,2.27,283.33,0.00,0.00,-7083.33
0,120,40,2.27,283.33,0.00,0.00,-7083.33
0,120,45,2.27,283.33,0.00,0.00,-7083.33
0,120,50,2.27,283.33,0.00,0.00,-7083.33
0,120,55,2.27,283.33,0.00,0.00,-7083.33
0,120,60,2.27,283.33,0.00,0.00,-7083.33
0,120,65,2.27,283.33,0.00,0.00,-7083.33
0,120,70,0.50,62.09,0.00,0.00,-1552.36
0,125,0,2.27,283.33,0.00,0.00,-7083.33
0,125,5,2.27,283.33,0.00,0.00,-7083.33
0,125,10,2.27,283.33,0.00,0.00,-7083.33
0,125,15,2.27,283.33,0.00,0.00,-7083.33
0,125,20,2.27,283.33,0.00,0.00,-7083.33
0,125,25,2.27,283.33,0.00,0.00,-7083.33
0,125,30,2.27,283.33,0.00,0.00,-7083.33
0,125,35,2.27,283.33,0.00,0.00,-7083.33
0,125,40,2.27,283.33,0.00,0.00,-7083.33
0,125,45,2.27,283.33,0.00,0.00,-7083.33
0,125,50,2.27,283.33,0.00,0.00,-7083.33
0,125,55,2.27,283.33,0.00,0.00,-7083.33
0,125,60,2.27,283.33,0.00,0.00,-7083.33
0,125,65,2.27,283.33,0.00,0.00,-7083.33
0,125,70,0.49,60.97,0.00,0.00,-1524.13
0,130,0,2.27,283.33,0.00,0.00,-7083.33
0,130,5,2.27,283.33,0.00,0.00,-7083.33
0,130,10,2.27,283.33,0.00,0.00,-7083.33
0,130,15,2.27,283.33,0.00,0.00,-7083.33
0,130,20,2.27,283.33,0.00,0.00,-7083.33
0,130,25,2.27,283.33,0.00,0.00,-7083.33
0,130,30,2.27,283.33,0.00,0.00,-7083.33
0,130,35,2.27,283.33,0.00,0.00,-7083.33
0,130,40,2.27,283.33,0.00,0.00,-7083.33
0,130,45,2.27,283.33,0.00,0.00,-7083.33
0,130,50,2.27,283.33,0.00,0.00,-7083.33
0,130,55,2.27,283.33,0.00,0.00,-7083.33
0,130,60,2.27,283.33,0.00,0.00,-7083.33
0,130,65,2.27,283.33,0.00,0.00,-7083.33
0,130,70,0.54,67.71,0.00,0.00,-1692.76
0,135,0,2.27,283.33,0.00,0.00,-7083.33
0,135,5,2.27,283.33,0.00,0.00,-7083.33
0,135,10,2.27,283.33,0.00,0.00,-7083.33
0,135,15,2.27,283.33,0.00,0.00,-7083.33
0,135,20,2.27,283.33,0.00,0.00,-7083.33
0,135,25,2.27,283.33,0.00,0.00,-7083.33
0,135,30,2.27,283.33,0.00,0.00,-7083.33
0,135,35,2.27,283.33,0.00,0.00,-7083.33
0,135,40,2.27,283.33,0.00,0.00,-7083.33
0,135,45,2.27,283.33,0.00,0.00,-7083.33
0,135,50,2.27,283.33,0.00,0.00,-7083.33
0,135,55,2.27,283.33,0.00,0.00,-7083.33
0,135,60,2.27,283.33,0.00,0.00,-7083.33
0,135,65,2.27,283.33,0.00,0.00,-7083.33
0,135,70,0.61,76.48,0.00,0.00,-1912.01
0,140,0,2.27,283.33,0.00,0.00,-7083.33
0,140,5,2.27,283.33,0.00,0.00,-7083.33
0,140,10,2.27,283.33,0.00,0.00,-7083.33
0,140,15,2.27,283.33,0.00,0.00,-7083.33
0,140,20,2.27,283.33,0.00,0.00,-7083.33
0,140,25,2.27,283.33,0.00,0.00,-7083.33
0,140,30,2.27,283.33,0.00,0.00,-7083.33
0,140,35,2.27,283.33,0.00,0.00,-7083.33
0,140,40,2.27,283.33,0.00,0.00,-7083.33
0,140,45,2.27,283.33,0.00,0.00,-7083.33
0,140,50,2.27,283.33,0.00,0.00,-7083.33
0,140,55,2.27,283.33,0.00,0.00,-7083.33
0,140,60,2.27,283.33,0.00,0.00,-7083.33
0,140,65,2.27,283.33,0.00,0.00,-7083.33
0,140,70,0.68,85.43,0.00,0.00,-2135.84
0,145,0,2.27,283.33,0.00,0.00,-7083.33
0,145,5,2.27,283.33,0.00,0.00,-7083.33
0,145,10,2.27,283.33,0.00,0.00,-7083.33
0,145,15,2.27,283.33,0.00,0.00,-7083.33
0,145,20,2.27,283.33,0.00,0.00,-7083.33
0,145,25,2.27,283.33,0.00,0.00,-7083.33
0,145,30,2.27,283.33,0.00,0.00,-7083.33
0,145,35,2.27,283.33,0.00,0.00,-7083.33
0,145,40,2.27,283.33,0.00,0.00,-7083.33
0,145,45,2.27,283.33,0.00,0.00,-7083.33
0,145,50,2.27,283.33,0.00,0.00,-7083.33
0,145,55,2.27,283.33,0.00,0.00,-7083.33
0,145,60,2.27,283.33,0.00,0.00,-7083.33
0,145,65,2.27,283.33,0.00,0.00,-7083.33
0,145,70,0.76,94.69,0.00,0.00,-2367.24
0,150,0,2.27,283.33,0.00,0.00,-7083.33
0,150,5,2.27,283.33,0.00,0.00,-7083.33
0,150,10,2.27,283.33,0.00,0.00,-7083.33
0,150,15,2.27,283.33,0.00,0.00,-7083.33
0,150,20,2.27,283.33,0.00,0.00,-7083.33
0,150,25,2.27,283.33,0.00,0.00,-7083.33
0,150,30,2.27,283.33,0.00,0.00,-7083.33
0,150,35,2.27,283.33,0.00,0.00,-7083.33
0,150,40,2.27,283.33,0.00,0.00,-7083.33
0,150,45,2.27,283.33,0.00,0.00,-7083.33
0,150,50,2.27,283.33,0.00,0.00,-7083.33
0,150,55,2.27,283.33,0.00,0.00,-7083.33
0,150,60,2.27,283.33,0.00,0.00,-7083.33
0,150,65,2.27,283.33,0.00,0.00,-7083.33
0,150,70,0.83,103.64,0.00,0.00,-2591.12
0,155,0,2.27,283.33,0.00,0.00,-7083.33
0,155,5,2.27,283.33,0.00,0.00,-7083.33
0,155,10,2.27,283.33,0.00,0.00,-7083.33
0,155,15,2.27,283.33,0.00,0.00,-7083.33
0,155,20,2.27,283.33,0.00,0.00,-7083.33
0,155,25,2.27,283.33,0.00,0.00,-7083.33
0,155,30,2.27,283.33,0.00,0.00,-7083.33
0,155,35,2.27,283.33,0.00,0.00,-7083.33
0,155,40,2.27,283.33,0.00,0.00,-7083.33
0,155,45,2.27,283.33,0.00,0.00,-7083.33
0,155,50,2.27,283.33,0.00,0.00,-7083.33
0,155,55,2.27,283.33,0.00,0.00,-7083.33
0,155,60,2.27,283.33,0.00,0.00,-7083.33
0,155,65,2.27,283.33,0.00,0.00,-7083.33
0,155,70,0.90,112.53,0.00,0.00,-2813.21
0,160,0,2.27,283.33,0.00,0.00,-7083.33
0,160,5,2.27,283.33,0.00,0.00,-7083.33
0,160,10,2.27,283.33,0.00,0.00,-7083.33
0,160,15,2.27,283.33,0.00,0.00,-7083.33
0,160,20,2.27,283.33,0.00,0.00,-7083.33
0,160,25,2.27,283.33,0.00,0.00,-7083.33
0,160,30,2.27,283.33,0.00,0.00,-7083.33
0,160,35,2.27,283.33,0.00,0.00,-7083.33
0,160,40,2.27,283.33,0.00,0.00,-7083.33
0,160,45,2.27,283.33,0.00,0.00,-7083.33
0,160,50,2.27,283.33,0.00,0.00,-7083.33
0,160,55,2.27,283.33,0.00,0.00,-7083.33
0,160,60,2.27,283.33,0.00,0.00,-7083.33
0,160,65,2.27,283.33,0.00,0.00,-7083.33
0,160,70,0.95,118.81,0.00,0.00,-2970.14
0,165,0,2.27,283.33,0.00,0.00,-7083.33
0,165,5,2.27,283.33,0.00,0.00,-7083.33
0,165,10,2.27,283.33,0.00,0.00,-7083.33
0,165,15,2.27,283.33,0.00,0.00,-7083.33
0,165,20,2.27,283.33,0.00,0.00,-7083.33
0,165,25,2.27,283.33,0.00,0.00,-7083.33
0,165,30,2.27,283.33,0.00,0.00,-7083.33
0,165,35,2.27,283.33,0.00,0.00,-7083.33
0,165,40,2.27,283.33,0.00,0.00,-7083.33
0,165,45,2.27,283.33,0.00,0.00,-7083.33
0,165,50,2.27,283.33,0.00,0.00,-7083.33
0,165,55,2.27,283.33,0.00,0.00,-7083.33
